wyId,officialName
1613,Newcastle United FC
692,Real Club Celta de Vigo
691,Reial Club Deportiu Espanyol
696,Deportivo Alav\u00e9s
695,Levante UD
3795,Esp\u00e9rance Sportive Troyes Aube Champagne
698,Getafe Club de F\u00fatbol
2454,Borussia VfL M\u00f6nchengladbach
1673,Huddersfield Town FC
678,Athletic Club Bilbao
679,Club Atl\u00e9tico de Madrid
3766,Olympique Lyonnais
3767,Paris Saint-Germain FC
674,Valencia Club de F\u00fatbol
675,Real Madrid Club de F\u00fatbol
676,FC Barcelona
714,UD Las Palmas
712,CD Legan\u00e9s
3204,Societ\u00e0 Polisportiva Ars et Labor 2013
10531,Swansea City AFC
3771,Olympique de Marseille
3770,FC Nantes
3775,O.G.C. Nice C\u00f4te d'Azur
3774,Stade Rennais FC
3779,RC Strasbourg Alsace
701,SD Eibar
1659,AFC Bournemouth
1651,Brighton & Hove Albion FC
2443,SV Werder Bremen
2446,TSV Bayer 04 Leverkusen
2447,BV Borussia 09 Dortmund
2444,FC Bayern M\u00fcnchen
2445,VfB Stuttgart 1893
2449,FC Schalke 04
3157,AC Milan
3799,Angers SCO
3159,Juventus FC
3158,AS Roma
3315,US Sassuolo Calcio
1646,Burnley FC
3772,FC Girondins de Bordeaux
2455,Hannover 96
3804,Dijon FCO
2457,Hertha BSC
2451,VfL Wolfsburg
2450,Hamburger SV
2453,SC Freiburg
3166,Bologna FC 1909
3777,FC Metz
3164,UC Sampdoria
3165,AC Chievo Verona
3162,SS Lazio
3163,Udinese Calcio
3161,FC Internazionale Milano
1631,Leicester City FC
1633,West Ham United FC
1639,Stoke City FC
3219,Benevento Calcio
3782,AS Saint-\u00c9tienne
756,Girona FC
1644,Watford FC
2482,TSG 1899 Hoffenheim
3173,Cagliari Calcio
3172,Atalanta Bergamasca Calcio
3176,ACF Fiorentina
1623,Everton FC
1627,West Bromwich Albion FC
1625,Manchester City FC
1624,Tottenham Hotspur FC
2481,FC Augsburg
1628,Crystal Palace FC
19830,AS Monaco FC
2460,1. FSV Mainz 05
3776,Lille OSC M\u00e9tropole
2462,Eintracht Frankfurt
1619,Southampton FC
2463,1. FC K\u00f6ln
1612,Liverpool FC
1610,Chelsea FC
1611,Manchester United FC
3185,Torino FC
3187,SSC Napoli
677,Real Club Deportivo de La Coru\u00f1a
2975,Rasen Ballsport Leipzig
1609,Arsenal FC
3783,Stade Malherbe Caen
3780,Toulouse FC
3787,Montpellier HSC
3785,En Avant Guingamp
3789,Amiens SC
3197,FC Crotone
3194,Hellas Verona FC
3193,Genoa CFC
684,Real Betis Balompi\u00e9
687,Real Sociedad de F\u00fatbol
680,Sevilla FC
683,M\u00e1laga Club de F\u00fatbol
682,Villarreal Club de F\u00fatbol
14855,Korea Republic
10451,Hungary
4687,Turkey
14358,Russia
7047,Sweden
16276,Tunisia
6380,Brazil
3148,Germany
8731,Albania
11944,Romania
14622,Ukraine
16216,Morocco
14496,Slovakia
12430,Colombia
17929,Panama
8493,Australia
12274,Argentina
10962,Northern Ireland
9905,Portugal
5629,Belgium
7712,Denmark
15670,Uruguay
10682,Wales
16871,Costa Rica
2413,England
16129,Egypt
12913,Japan
10840,Iran
9109,Austria
7839,Iceland
9598,Croatia
15473,Mexico
8274,Republic of Ireland
11555,Czech Republic
19314,Senegal
3757,Italy
15594,Peru
4418,France
16521,Saudi Arabia
1598,Spain
17322,Serbia
6697,Switzerland
13869,Poland
16823,Nigeria
